,Clone,country,Species,Market,Ploidy,Release Year,Release Range,Breeding Program
1,A97066-42,US,S. tuberosum Group Tuberosum,French Fry Processing,4x,Advanced Breeding Line,Advanced Breeding Line,"USDA ARS Aberdeen, Idaho"
2,AdirondackBlue,US,S. tuberosum Group Tuberosum,Pigmented,4x,2003,2000-2009,Cornell University
3,AF2291-10,US,S. tuberosum Group Tuberosum,Chip Processing,4x,Advanced Breeding Line,Advanced Breeding Line,University of Maine
4,AF2376-5,US,S. tuberosum Group Tuberosum,Round White Table,4x,Advanced Breeding Line,Advanced Breeding Line,University of Maine
5,AF2574-1,US,S. tuberosum Group Tuberosum,Round White Table,4x,Advanced Breeding Line,Advanced Breeding Line,University of Maine
6,AlpineRusset,US,S. tuberosum Group Tuberosum,French Fry Processing,4x,2008,2000-2009,"USDA ARS Aberdeen, Idaho"
7,Alturas,US,S. tuberosum Group Tuberosum,French Fry Processing,4x,2002,2000-2009,"USDA ARS Aberdeen, Idaho"
8,Andover,US,S. tuberosum Group Tuberosum,Chip Processing,4x,1996,1990-1999,Cornell University
9,AO96141-3,US,S. tuberosum Group Tuberosum,French Fry Processing,4x,Advanced Breeding Line,Advanced Breeding Line,"USDA ARS Aberdeen, Idaho"
10,AO96160-3,US,S. tuberosum Group Tuberosum,French Fry Processing,4x,2009,2000-2009,"USDA ARS Aberdeen, Idaho"
11,AO96164-1,US,S. tuberosum Group Tuberosum,French Fry Processing,4x,2010,2010-present,"USDA ARS Aberdeen, Idaho"
12,Atlantic,US,S. tuberosum Group Tuberosum,Chip Processing,4x,1976,1970-1989,"USDA ARS Beltsville, Maryland"
13,AWN86514-2,US,S. tuberosum Group Tuberosum,French Fry Processing,4x,1998,1990-1999,"USDA ARS Aberdeen, Idaho"
14,B1829-5,US,S. tuberosum Group Tuberosum,Chip Processing,4x,Advanced Breeding Line,Advanced Breeding Line,"USDA ARS Beltsville, Maryland"
15,BannockRusset,US,S. tuberosum Group Tuberosum,French Fry Processing,4x,1999,1990-1999,"USDA ARS Aberdeen, Idaho"
16,BeaconChipper,US,S. tuberosum Group Tuberosum,Chip Processing,4x,2006,2000-2009,Michigan State University
17,BlazerRusset,US,S. tuberosum Group Tuberosum,French Fry Processing,4x,2005,2000-2009,"USDA ARS Aberdeen, Idaho"
18,Boulder,US,S. tuberosum Group Tuberosum,Round White Table,4x,2003,2000-2009,Michigan State University
19,C31-5-115,US,S. tuberosum Group Tuberosum/S. brevidens,Chip Processing,4x,Advanced Breeding Line,Advanced Breeding Line,University of Wisconsin - Madison
20,C31-5-120,US,S. tuberosum Group Tuberosum/S. brevidens,Chip Processing,4x,Advanced Breeding Line,Advanced Breeding Line,University of Wisconsin - Madison
21,C5,US,S. tuberosum Group Tuberosum/S. tarijense/S. chacoense,Chip Processing,4x,Advanced Breeding Line,Advanced Breeding Line,"USDA ARS Madison, Wisconsin"
22,CanelaRusset,US,S. tuberosum Group Tuberosum,Table Russet,4x,2007,2000-2009,Colorado State University
23,Cascade,US,S. tuberosum Group Tuberosum,French Fry Processing,4x,1969,1950-1969,USDA ARS Prosser Washington
