,Clone,Species,ploidy,Female,Male,Release year,Category,Market,,
1,Norin1,S.tuberosum,4x,Irish Cobbler,Deodara,1943,Japanese variety,Table,,
2,Eniwa,S.tuberosum,4x,Shimakei 267,Shimakei 232,1961,Japanese variety,Starch processing,,
3,Yukijiro,S.tuberosum,4x,Kennebec,Norin 2,1961,Japanese variety,French fry processing,,
4,Chijiwa,S.tuberosum,4x,S54042-15,Unzen,1962,Japanese variety,Table,,
5,Hokkai-aka,S.tuberosum,4x,2070-ab(31),Shimakei 290,1965,Japanese variety,Starch processing,,
6,Shiretoko,S.tuberosum,4x,Hokkai 24,Shimakei 291,1967,Japanese variety,Starch processing,,
7,Bihoro,S.tuberosum,4x,Hokkai 29,Hochprozentige,1969,Japanese variety,Starch processing,,
8,Tarumae,S.tuberosum,4x,Oojiro,Hochprozentige,1969,Japanese variety,Starch processing,,
9,Dejima,S.tuberosum,4x,Hokkai 31,Unzen,1971,Japanese variety,Table,,
10,Waseshiro,S.tuberosum,4x,Konkei 7,Hokkai 39,1974,Japanese variety,Chip processing,,
11,Toyoshiro,S.tuberosum,4x,Hokkai 19,Eniwa,1976,Japanese variety,Chip processing,,
12,Norin2,S.tuberosum,4x,Irish Cobbler,Pepo,1945,Japanese variety,Table,,
13,Setoyutaka,S.tuberosum,4x,Saikai 10,Unzen,1977,Japanese variety,Table,,
14,Nishiyutaka,S.tuberosum,4x,Dejima,Chokei 65,1978,Japanese variety,Table,,
15,Hatsufubuki,S.tuberosum,4x,Irish Cobbler,WB61037-4,1979,Japanese variety,Starch processing,,
16,Hokkaikogane,S.tuberosum,4x,Toyoshiro,Hokkai 51,1981,Japanese variety,French fry processing,,
17,Konafubuki,S.tuberosum,4x,Toyoshiro,WB66201-10,1981,Japanese variety,Starch processing,,
18,Toyo-akari,S.tuberosum,4x,Tunika,WB61037-4,1986,Japanese variety,Starch processing,,
19,Meihou,S.tuberosum,4x,Chijiwa,Chokei 80,1986,Japanese variety,Table,,
20,Kita-akari,S.tuberosum,4x,Irish Cobbler,Tunika,1987,Japanese variety,Table,,
21,Ezo-akari,S.tuberosum,4x,Tunika,Priekulsky Ranny,1987,Japanese variety,Table,,
22,Touya,S.tuberosum,4x,R392-50,WB77025-2,1992,Japanese variety,Table,,
23,Chitose,S.tuberosum,4x,Irish Cobbler,Hon-iku 393,1953,Japanese variety,Table,,
24,Musamaru,S.tuberosum,4x,Tunika,Kon-iku 20,1992,Japanese variety,French fry processing,,
25,Beni-akari,S.tuberosum,4x,Hokkai 61,R392-50,1994,Japanese variety,Table,,
26,Sakurafubuki,S.tuberosum,4x,Konafubuki,Toyo-akari,1994,Japanese variety,Starch processing,,
27,Aino-aka,S.tuberosum,4x,Dejima,Norland,1994,Japanese variety,Table,,","
