,Clone,Species,Mother ,Father,Category,Ploidy,Market,Maturity,Release year,Breeding program,,
1,Mangang,S. tuberosum,Atlantic,IT244159,Korean variety,4x,chip processing,late,2016,"Highland Agriculture Research Institute, Korea",,
2,Gangseon,S.tuberosum,DK1-83,Chubaek,Korean variety,4x,table stock,late,2016,"Highland Agriculture Research Institute, Korea",,
3,Tamna,S. tuberosum,AJ09,Jeseo,Korean variety,4x,table stock,late,2014,"Jeju provincial Agriculture Research Institute, Korea",,
4,Dano,S. tuberosum,Superior,KS13,Korean variety,4x,table stock,Int,2015,"Wangsan seed company, Korea",,
5,Golden Ball,S. tuberosum,DK1-110,DK1-116,Korean variety,4x,chip processing,Int,2019,"Highland Agriculture Research Institute, Korea",,
6,ArirangNo.1,S. tuberosum,Frontier,DK1-117,Korean variety,4x,table stock,late,2018,"Highland Agriculture Research Institute, Korea",,
7,ArirangNo.2,S. tuberosum,Eigenheimer,DK1-116,Korean variety,4x,table stock,late,2018,"Highland Agriculture Research Institute, Korea",,
8,Oryun,S. tuberosum,Atlantic,CIP705,Korean variety,4x,table stock,late,2012,"Gangwon probincial Agriculture Resrarch Institute, Korea",,
9,Pungnong,S. tuberosum,Atlantic,Gumseo,Korean variety,4x,French fry,late,2015,"Gangwon probincial Agriculture Resrarch Institute, Korea",,
10,Daegwang,S. tuberosum,Haryeong,P3404-1,Korean variety,4x,table stock,Int,2015,"Highland Agriculture Research Institute, Korea",,
11,Namjak,S. tuberosum,-,-,Korean variety,4x,table stock,early,1876(1961),Irish Cobbler,,
12,Sinnamjak,S. tuberosum,Irish cobbler,Katahdin,Korean variety,4x,table stock,late,2002,"Highland Agriculture Research Institute, Korea",,
13,Namseon,S. tuberosum,Chugang,Dakota pearl,Korean variety,4x,chip processing,early,2016,"Highland Agriculture Research Institute, Korea",,
14,Geumseon,S. tuberosum,Chuyoung,DK1-8,Korean variety,4x,table stock,early,2015,"Highland Agriculture Research Institute, Korea",,
15,Eunseon,S. tuberosum,Chugang,Dakota pearl,Korean variety,4x,chip processing,early,2017,"Highland Agriculture Research Institute, Korea",,
16,Suseon,S. tuberosum,GoUn,DK1-109,Korean variety,4x,chip processing,Int,2018,"Highland Agriculture Research Institute, Korea",,
