,Clone,Species,Market,Ploidy,Release Year,Release Range,Breeding Program,,,,,,,
1,Bintje,S. tuberosum,Yellow,4x,1910,pre-1930,Private - K.L. de Vries (Netherlands),,,,,,,
2,EarlyRose,S. tuberosum,red skinned Round White Table,4x,1867,pre-1930,Private - Albert Bresee (Vermont),,,,,,,
3,GarnetChile,S. tuberosum,Pigmented,4x,1857,pre-1930,Private - Rev. Chauncey Goodrich (New York),,,,,,,
4,GreenMountain,S. tuberosum,Round White Table,4x,1885,pre-1930,Private - Orson Alexander (Vermont),,,,,,,
5,Hindenburg,S. tuberosum,Round White Table,4x,1916,pre-1930,Private - Kartz von Kameke (Germany),,,,,,,
6,RussetBurbank,S. tuberosum,French Fry Processing,4x,1908,pre-1930,Private - Luther Burbank (Massachusetts),,,,,,,
7,Triumph,S. tuberosum,Pigmented,4x,early,1878,B.K.Bliss & Sons (New York),,,,,,,
8,MayQueen,S. tuberosum,Table stock,4x,early,1890,UK variety,,,,,,,
9,IrishCobbler,S. tuberosum,Round White Table,4x,1876,pre-1930,Unknown,,,,,,,
10,All Blue,S. tuberosum,Pigmented,4x,1900,pre-1930,Unknown,,,,,,,
11,Kintoki-imo,S. tuberosum,Pigmented,4x,NA,NA,Japanese landrace,,,,,,,
12,Kobo-imo,S. tuberosum,Table,4x,NA,NA,Japanese landrace,,,,,,,
13,Seinaiji-ki-imo,S. tuberosum,Table,4x,NA,NA,Japanese landrace,,,,,,,
14,Nemuromurasaki,S. tuberosum,Pigmented,4x,NA,NA,Japanese landrace,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
