id,chip_processing,env
MSM171-A,2,usa
Suseon,1,korea
Daekwan1-152,2,korea
Daekwan1-145,2,korea
Daekwan1-146,2,korea
Daekwan1-139,2,korea
Seohong,2,korea
Daekwan1-143,1,korea
Chuyoung,2,korea
Chugang,2,korea
Chudong,2,korea
Jopoong,2,korea
Daekwan1-153,2,korea
Daekwan1-158,2,korea
Superior,2,usa
Daekwan2-58,1,korea
Jungmo9001,2,korea
Hongseon,2,korea
Chubaek,2,korea
Daekwan2-66,1,korea
Gangseon,2,korea
Haru-akari,2,japan
Sanjyumaru,2,japan
Tachibana,2,japan
Nishiyutaka,2,japan
Jeseo,2,korea
Dejima,2,japan
Tamna,2,korea
Daekwan2-68,1,korea
Geumseon,2,korea
MSL512-6,2,usa
ND2858-1,2,usa
MSP239-1,1,usa
SierraGold,2,usa
YukonGem,2,usa
YukonGold,2,usa
PeterWilcox,2,usa
Daekwan1-149,2,korea
EarlyFri,2,korea
Lenape,1,usa
C5,1,usa
Lelah,1,usa
MN02419,2,usa
MSM246-B,1,usa
MSN191-2Y,1,usa
MSG227-2,1,usa
MSM051-3,1,usa
Nicolet,1,usa
WhitePearl,1,usa
MSL292-A,1,usa
Snowden,1,usa
Daekwan2-67,1,korea
Daekwan2-41,2,korea
MN99380-1,2,usa
DakotaPearl,1,usa
Namseon,1,korea
Eunseon,1,korea
Okhotsk-chip,1,japan
WhiteFlyer,1,usa
Kitahime,1,japan
W2309-7,1,usa
Northstar,1,usa
NorthChip,1,usa
MN02586,1,usa
ND860-2,1,usa
Daekwan1-129,1,korea
W4013-1,1,usa
NorValley,1,usa
MSJ147-1,1,usa
ND1215-1,2,usa
Liberator,1,usa
Norchip,1,usa
MN18747,2,usa
Willamette,1,usa
DakotaDiamond,1,usa
IvoryCrisp,1,usa
Daegwang,2,korea
Denali,1,usa
Daekwan2-62,2,korea
Daekwan1-148,2,korea
Daekwan2-65,1,korea
Haryeong,2,korea
ArirangNo.1,2,korea
GoldenBall,1,korea
SnowMarch,2,japan
MegaChip,1,usa
Elkana,2,nederland
Mangang,1,korea
Oryun,2,korea
Daekwan1-144,1,korea
Atlantic,1,usa
Pungnong,2,korea
Doobaek,1,korea
Daekwan2-56,1,korea
Daekwan2-63,2,korea
Suji,1,korea
Bangul,2,korea
Hichip,1,korea
Goun,1,korea
Daekwan2-69,1,korea
Daekwan2-57,2,korea
Saebong,1,korea
Poroshiri,1,usa
Pike,1,usa
MSR061-1,1,usa
Lehigh,2,usa
Tundra,1,usa
MSQ279-1,1,usa
Boulder,2,usa
Lamoka,1,usa
Waneta,1,usa
NY115,1,usa
MSM182-1,2,usa
NY140,1,usa
MSR160-2Y,1,usa
NY121,1,usa
Eva,2,usa
